# Logfile created on 2012-03-16 00:30:16 -0300 by logger.rb/31641
F, [2012-03-16T00:30:16.718007 #2919] FATAL -- : File does not exist
I, [2012-03-16T00:30:37.310546 #2944]  INFO -- :      Processing line number: 57
I, [2012-03-16T00:30:37.310644 #2944]  INFO -- :      Processing line number: 58
I, [2012-03-16T00:30:37.310747 #2944]  INFO -- :      Processing line number: 59
I, [2012-03-16T00:30:37.310868 #2944]  INFO -- :      Processing line number: 60
I, [2012-03-16T00:30:37.310973 #2944]  INFO -- :      Processing line number: 61
I, [2012-03-16T00:30:37.311077 #2944]  INFO -- :      Processing line number: 62
I, [2012-03-16T00:30:37.311182 #2944]  INFO -- :      Processing line number: 63
I, [2012-03-16T00:30:37.311277 #2944]  INFO -- :      Processing line number: 64
I, [2012-03-16T00:30:37.311417 #2944]  INFO -- :      Processing line number: 65
I, [2012-03-16T00:30:37.311522 #2944]  INFO -- :      Processing line number: 66
I, [2012-03-16T00:30:37.311625 #2944]  INFO -- :      Processing line number: 67
I, [2012-03-16T00:30:37.311732 #2944]  INFO -- :      Processing line number: 68
I, [2012-03-16T00:30:37.311867 #2944]  INFO -- :      Processing line number: 69
I, [2012-03-16T00:30:37.311964 #2944]  INFO -- :      Processing line number: 70
I, [2012-03-16T00:30:37.312067 #2944]  INFO -- :      Processing line number: 71
I, [2012-03-16T00:30:37.312185 #2944]  INFO -- :      Processing line number: 72
I, [2012-03-16T00:30:37.312288 #2944]  INFO -- :      Processing line number: 73
I, [2012-03-16T00:30:37.312459 #2944]  INFO -- :      Processing line number: 74
I, [2012-03-16T00:30:37.312566 #2944]  INFO -- :      Processing line number: 75
I, [2012-03-16T00:30:37.312670 #2944]  INFO -- :      Processing line number: 76
I, [2012-03-16T00:30:37.312800 #2944]  INFO -- :      Processing line number: 77
I, [2012-03-16T00:30:37.312906 #2944]  INFO -- :      Processing line number: 78
I, [2012-03-16T00:30:37.313010 #2944]  INFO -- :      Processing line number: 79
I, [2012-03-16T00:30:37.313110 #2944]  INFO -- :      Processing line number: 80
I, [2012-03-16T00:30:37.313206 #2944]  INFO -- :      Processing line number: 81
I, [2012-03-16T00:30:37.313335 #2944]  INFO -- :      Processing line number: 82
I, [2012-03-16T00:30:37.313432 #2944]  INFO -- :      Processing line number: 83
I, [2012-03-16T00:30:37.313537 #2944]  INFO -- :      Processing line number: 84
I, [2012-03-16T00:30:37.313641 #2944]  INFO -- :      Processing line number: 85
I, [2012-03-16T00:30:37.313744 #2944]  INFO -- :      Processing line number: 86
I, [2012-03-16T00:30:37.313885 #2944]  INFO -- :      Processing line number: 87
I, [2012-03-16T00:30:37.313989 #2944]  INFO -- :      Processing line number: 88
I, [2012-03-16T00:30:37.314094 #2944]  INFO -- :      Processing line number: 89
I, [2012-03-16T00:30:37.314200 #2944]  INFO -- :      Processing line number: 90
I, [2012-03-16T00:30:37.314379 #2944]  INFO -- :      Processing line number: 91
I, [2012-03-16T00:30:37.314487 #2944]  INFO -- :      Processing line number: 92
I, [2012-03-16T00:30:37.314590 #2944]  INFO -- :      Processing line number: 93
I, [2012-03-16T00:30:37.314686 #2944]  INFO -- :      Processing line number: 94
I, [2012-03-16T00:30:37.314819 #2944]  INFO -- :      Processing line number: 95
I, [2012-03-16T00:30:37.314924 #2944]  INFO -- :      Processing line number: 96
I, [2012-03-16T00:30:37.315029 #2944]  INFO -- :      Processing line number: 97
I, [2012-03-16T00:30:37.315143 #2944]  INFO -- :      Processing line number: 98
I, [2012-03-16T00:30:37.315240 #2944]  INFO -- :      Processing line number: 99
I, [2012-03-16T00:30:37.315369 #2944]  INFO -- :      Processing line number: 100
I, [2012-03-16T00:30:37.315547 #2944]  INFO -- :      Processing line number: 101
I, [2012-03-16T00:30:37.315649 #2944]  INFO -- :      Processing line number: 102
I, [2012-03-16T00:30:37.315764 #2944]  INFO -- :      Processing line number: 103
I, [2012-03-16T00:30:37.315877 #2944]  INFO -- :      Processing line number: 104
I, [2012-03-16T00:30:37.315982 #2944]  INFO -- :      Processing line number: 105
I, [2012-03-16T00:30:37.316110 #2944]  INFO -- :      Processing line number: 106
I, [2012-03-16T00:30:37.316210 #2944]  INFO -- :      Processing line number: 107
I, [2012-03-16T00:30:37.316410 #2944]  INFO -- :      Processing line number: 108
I, [2012-03-16T00:30:37.316567 #2944]  INFO -- :      Processing line number: 109
I, [2012-03-16T00:30:37.316692 #2944]  INFO -- :      Processing line number: 110
I, [2012-03-16T00:30:37.316842 #2944]  INFO -- :      Processing line number: 111
I, [2012-03-16T00:30:37.316952 #2944]  INFO -- :      Processing line number: 112
I, [2012-03-16T00:30:37.317062 #2944]  INFO -- :      Processing line number: 113
I, [2012-03-16T00:30:37.317173 #2944]  INFO -- :      Processing line number: 114
I, [2012-03-16T00:30:37.317422 #2944]  INFO -- :      Processing line number: 115
I, [2012-03-16T00:30:37.317540 #2944]  INFO -- :      Processing line number: 116
I, [2012-03-16T00:30:37.317653 #2944]  INFO -- :      Processing line number: 117
I, [2012-03-16T00:30:37.317788 #2944]  INFO -- :      Processing line number: 118
I, [2012-03-16T00:30:37.317920 #2944]  INFO -- :      Processing line number: 119
I, [2012-03-16T00:30:37.318023 #2944]  INFO -- :      Processing line number: 120
I, [2012-03-16T00:30:37.318135 #2944]  INFO -- :      Processing line number: 121
I, [2012-03-16T00:30:37.318348 #2944]  INFO -- : Closing file text.txt ...
